Título,Link,Seção,Data
"Quem é Wisdom Kaye, o influenciador mais bem vestido do Tiktok",https://g1.globo.com/economia/tecnologia/video/quem-e-wisdom-kaye-o-influenciador-mais-bem-vestido-do-tiktok-13691429.ghtml,tecnologia,19/06/2025
Oppo Reno 13 vale a pena? g1 testou o celular chinês e comparou com outras 2 novas marcas,https://g1.globo.com/guia/guia-de-compras/tecnologia/celulares/oppo-reno-13-g1-testou-o-celular-e-comparou-com-outras-2-novas-marcas.ghtml,tecnologia,19/06/2025
Onde vão aparecer os anúncios no Whatsapp?,https://g1.globo.com/economia/tecnologia/video/onde-vao-aparecer-os-anuncios-no-whatsapp-13689926.ghtml,tecnologia,19/06/2025
"Huawei lança celular de R$ 33 mil no Brasil, o mais caro do país; veja detalhes",https://g1.globo.com/tecnologia/noticia/2025/06/17/huawei-lanca-celular-de-r-33-mil-no-brasil-o-mais-caro-do-pais-veja-detalhes.ghtml,tecnologia,19/06/2025
Trump prorroga por 90 dias prazo para venda do TikTok,https://g1.globo.com/tecnologia/noticia/2025/06/17/trump-prorroga-por-90-dias-prazo-para-venda-do-tiktok.ghtml,tecnologia,19/06/2025
"Ménage? Poligamia? Tinder lança recurso de date em duplas, e usuários ficam confusos",https://g1.globo.com/tecnologia/noticia/2025/06/17/tinder-lanca-recurso-de-date-em-duplas-e-usuarios-ficam-confusos.ghtml,tecnologia,19/06/2025
É #FAKE que o Brasil forneceu urânio ao Irã,https://g1.globo.com/fato-ou-fake/noticia/2025/06/18/e-fake-que-o-brasil-forneceu-uranio-ao-ira.ghtml,mundo,19/06/2025
"Cristiano Ronaldo pede paz ao dar camisa autografada para Trump, que cogita atacar Irã",https://g1.globo.com/mundo/noticia/2025/06/18/cristiano-ronaldo-pede-paz-ao-dar-camisa-autografada-para-trump-que-cogita-atacar-ira.ghtml,mundo,19/06/2025
Veja o que é #FATO ou #FAKE em vídeos do conflito entre Israel e Irã,https://g1.globo.com/fato-ou-fake/noticia/2025/06/18/veja-o-que-e-fato-ou-fake-em-videos-do-conflito-entre-israel-e-ira.ghtml,mundo,19/06/2025
Israel x Irã: tudo o que se sabe até o momento sobre o conflito,https://g1.globo.com/mundo/noticia/2025/06/18/israel-x-ira-tudo-o-que-se-sabe-ate-o-momento-sobre-o-conflito.ghtml,mundo,19/06/2025
